candidate_id,event_name,event_year,design_family,recommended_treated_unit,candidate_outcomes,candidate_controls,main_risk,allowed_claim
PPR_001,景田北六街宠物公园,2023.0,point_buffer_event_study_or_matched_grid_candidate,500m_grid_buffer_or_district_unit,pet_core_service_density_per_km2|positive_rule_presence|suppressed_frontier_status|rule_liminal_host_count,pre_event_pet_service_density|morphology|district|edge_cell|venue_type_mix|source_quality,event timing may be source publication date rather than true intervention date,quasi-causal evidence consistent with rule-emergence mechanism if assumptions pass
PPR_002,洪湖东宠物乐园,2023.0,point_buffer_event_study_or_matched_grid_candidate,500m_grid_buffer_or_district_unit,pet_core_service_density_per_km2|positive_rule_presence|suppressed_frontier_status|rule_liminal_host_count,pre_event_pet_service_density|morphology|district|edge_cell|venue_type_mix|source_quality,event timing may be source publication date rather than true intervention date,quasi-causal evidence consistent with rule-emergence mechanism if assumptions pass
PPR_003,春天海社区公园,2023.0,point_buffer_event_study_or_matched_grid_candidate,500m_grid_buffer_or_district_unit,pet_core_service_density_per_km2|positive_rule_presence|suppressed_frontier_status|rule_liminal_host_count,pre_event_pet_service_density|morphology|district|edge_cell|venue_type_mix|source_quality,event timing may be source publication date rather than true intervention date,quasi-causal evidence consistent with rule-emergence mechanism if assumptions pass
PPR_004,四海公园宠物乐园,2023.0,point_buffer_event_study_or_matched_grid_candidate,500m_grid_buffer_or_district_unit,pet_core_service_density_per_km2|positive_rule_presence|suppressed_frontier_status|rule_liminal_host_count,pre_event_pet_service_density|morphology|district|edge_cell|venue_type_mix|source_quality,event timing may be source publication date rather than true intervention date,quasi-causal evidence consistent with rule-emergence mechanism if assumptions pass
PPR_005,灵芝街心宠物公园,2023.0,point_buffer_event_study_or_matched_grid_candidate,500m_grid_buffer_or_district_unit,pet_core_service_density_per_km2|positive_rule_presence|suppressed_frontier_status|rule_liminal_host_count,pre_event_pet_service_density|morphology|district|edge_cell|venue_type_mix|source_quality,event timing may be source publication date rather than true intervention date,quasi-causal evidence consistent with rule-emergence mechanism if assumptions pass
PPR_006,龙岗河干流宠物乐园,2023.0,point_buffer_event_study_or_matched_grid_candidate,500m_grid_buffer_or_district_unit,pet_core_service_density_per_km2|positive_rule_presence|suppressed_frontier_status|rule_liminal_host_count,pre_event_pet_service_density|morphology|district|edge_cell|venue_type_mix|source_quality,event timing may be source publication date rather than true intervention date,quasi-causal evidence consistent with rule-emergence mechanism if assumptions pass
PPR_007,龙华区宠物公园,2023.0,district_event_study_or_synthetic_control_candidate,500m_grid_buffer_or_district_unit,pet_core_service_density_per_km2|positive_rule_presence|suppressed_frontier_status|rule_liminal_host_count,pre_event_pet_service_density|morphology|district|edge_cell|venue_type_mix|source_quality,event timing may be source publication date rather than true intervention date,quasi-causal evidence consistent with rule-emergence mechanism if assumptions pass
PPR_008,坪山养犬教育科普基地,2023.0,point_buffer_event_study_or_matched_grid_candidate,500m_grid_buffer_or_district_unit,pet_core_service_density_per_km2|positive_rule_presence|suppressed_frontier_status|rule_liminal_host_count,pre_event_pet_service_density|morphology|district|edge_cell|venue_type_mix|source_quality,event timing may be source publication date rather than true intervention date,quasi-causal evidence consistent with rule-emergence mechanism if assumptions pass
PPR_009,光明区宠物公园,2023.0,district_event_study_or_synthetic_control_candidate,500m_grid_buffer_or_district_unit,pet_core_service_density_per_km2|positive_rule_presence|suppressed_frontier_status|rule_liminal_host_count,pre_event_pet_service_density|morphology|district|edge_cell|venue_type_mix|source_quality,event timing may be source publication date rather than true intervention date,quasi-causal evidence consistent with rule-emergence mechanism if assumptions pass
PPR_010,大鹏宠物公园,2023.0,point_buffer_event_study_or_matched_grid_candidate,500m_grid_buffer_or_district_unit,pet_core_service_density_per_km2|positive_rule_presence|suppressed_frontier_status|rule_liminal_host_count,pre_event_pet_service_density|morphology|district|edge_cell|venue_type_mix|source_quality,event timing may be source publication date rather than true intervention date,quasi-causal evidence consistent with rule-emergence mechanism if assumptions pass
PPR_011,深圳宠物公园通用提醒,2023.0,route_buffer_event_study_candidate,500m_grid_buffer_or_district_unit,pet_core_service_density_per_km2|positive_rule_presence|suppressed_frontier_status|rule_liminal_host_count,pre_event_pet_service_density|morphology|district|edge_cell|venue_type_mix|source_quality,event timing may be source publication date rather than true intervention date,quasi-causal evidence consistent with rule-emergence mechanism if assumptions pass
PPR_012,餐厅、商店、市场等经营场所,2025.0,matched_comparison_or_sensitivity_candidate,500m_grid_buffer_or_district_unit,pet_core_service_density_per_km2|positive_rule_presence|suppressed_frontier_status|rule_liminal_host_count,pre_event_pet_service_density|morphology|district|edge_cell|venue_type_mix|source_quality,event timing may be source publication date rather than true intervention date,quasi-causal evidence consistent with rule-emergence mechanism if assumptions pass
PPR_026,深圳机场宠物候机厅,2024.0,route_buffer_event_study_candidate,500m_grid_buffer_or_district_unit,pet_core_service_density_per_km2|positive_rule_presence|suppressed_frontier_status|rule_liminal_host_count,pre_event_pet_service_density|morphology|district|edge_cell|venue_type_mix|source_quality,event timing may be source publication date rather than true intervention date,quasi-causal evidence consistent with rule-emergence mechanism if assumptions pass
PPR_029,深圳养犬服务平台领养和寻宠功能,2022.0,matched_comparison_or_sensitivity_candidate,500m_grid_buffer_or_district_unit,pet_core_service_density_per_km2|positive_rule_presence|suppressed_frontier_status|rule_liminal_host_count,pre_event_pet_service_density|morphology|district|edge_cell|venue_type_mix|source_quality,event timing may be source publication date rather than true intervention date,quasi-causal evidence consistent with rule-emergence mechanism if assumptions pass
PPR_045,龙华政府英文报道宠物友好餐饮样本,2021.0,matched_comparison_or_sensitivity_candidate,500m_grid_buffer_or_district_unit,pet_core_service_density_per_km2|positive_rule_presence|suppressed_frontier_status|rule_liminal_host_count,pre_event_pet_service_density|morphology|district|edge_cell|venue_type_mix|source_quality,event timing may be source publication date rather than true intervention date,quasi-causal evidence consistent with rule-emergence mechanism if assumptions pass
PPR_081,沙井京基百纳广场年度报告规则证据,2025.0,point_buffer_event_study_or_matched_grid_candidate,500m_grid_buffer_or_district_unit,pet_core_service_density_per_km2|positive_rule_presence|suppressed_frontier_status|rule_liminal_host_count,pre_event_pet_service_density|morphology|district|edge_cell|venue_type_mix|source_quality,event timing may be source publication date rather than true intervention date,quasi-causal evidence consistent with rule-emergence mechanism if assumptions pass
PPR_082,福田绿谷公园周边宠物友好空间,2024.0,point_buffer_event_study_or_matched_grid_candidate,500m_grid_buffer_or_district_unit,pet_core_service_density_per_km2|positive_rule_presence|suppressed_frontier_status|rule_liminal_host_count,pre_event_pet_service_density|morphology|district|edge_cell|venue_type_mix|source_quality,event timing may be source publication date rather than true intervention date,quasi-causal evidence consistent with rule-emergence mechanism if assumptions pass
PPR_083,香蜜湖中旅花园二期宠物友好活动区域,2024.0,point_buffer_event_study_or_matched_grid_candidate,500m_grid_buffer_or_district_unit,pet_core_service_density_per_km2|positive_rule_presence|suppressed_frontier_status|rule_liminal_host_count,pre_event_pet_service_density|morphology|district|edge_cell|venue_type_mix|source_quality,event timing may be source publication date rather than true intervention date,quasi-causal evidence consistent with rule-emergence mechanism if assumptions pass
PPR_084,沙头新洲路紫薇公园宠物友好空间,2024.0,point_buffer_event_study_or_matched_grid_candidate,500m_grid_buffer_or_district_unit,pet_core_service_density_per_km2|positive_rule_presence|suppressed_frontier_status|rule_liminal_host_count,pre_event_pet_service_density|morphology|district|edge_cell|venue_type_mix|source_quality,event timing may be source publication date rather than true intervention date,quasi-causal evidence consistent with rule-emergence mechanism if assumptions pass
PPR_085,深圳国际创新中心A座周边宠物友好空间,2024.0,point_buffer_event_study_or_matched_grid_candidate,500m_grid_buffer_or_district_unit,pet_core_service_density_per_km2|positive_rule_presence|suppressed_frontier_status|rule_liminal_host_count,pre_event_pet_service_density|morphology|district|edge_cell|venue_type_mix|source_quality,event timing may be source publication date rather than true intervention date,quasi-causal evidence consistent with rule-emergence mechanism if assumptions pass
PPR_086,华强北鹏怡苑社区小公园宠物友好空间,2024.0,point_buffer_event_study_or_matched_grid_candidate,500m_grid_buffer_or_district_unit,pet_core_service_density_per_km2|positive_rule_presence|suppressed_frontier_status|rule_liminal_host_count,pre_event_pet_service_density|morphology|district|edge_cell|venue_type_mix|source_quality,event timing may be source publication date rather than true intervention date,quasi-causal evidence consistent with rule-emergence mechanism if assumptions pass
PPR_087,梅林梅京社区街心小公园宠物友好空间,2024.0,point_buffer_event_study_or_matched_grid_candidate,500m_grid_buffer_or_district_unit,pet_core_service_density_per_km2|positive_rule_presence|suppressed_frontier_status|rule_liminal_host_count,pre_event_pet_service_density|morphology|district|edge_cell|venue_type_mix|source_quality,event timing may be source publication date rather than true intervention date,quasi-causal evidence consistent with rule-emergence mechanism if assumptions pass
PPR_088,园岭三街雕塑公园宠物友好空间,2024.0,point_buffer_event_study_or_matched_grid_candidate,500m_grid_buffer_or_district_unit,pet_core_service_density_per_km2|positive_rule_presence|suppressed_frontier_status|rule_liminal_host_count,pre_event_pet_service_density|morphology|district|edge_cell|venue_type_mix|source_quality,event timing may be source publication date rather than true intervention date,quasi-causal evidence consistent with rule-emergence mechanism if assumptions pass
PPR_089,莲花彩田村三层坪台宠物友好空间,2024.0,district_event_study_or_synthetic_control_candidate,500m_grid_buffer_or_district_unit,pet_core_service_density_per_km2|positive_rule_presence|suppressed_frontier_status|rule_liminal_host_count,pre_event_pet_service_density|morphology|district|edge_cell|venue_type_mix|source_quality,event timing may be source publication date rather than true intervention date,quasi-causal evidence consistent with rule-emergence mechanism if assumptions pass
PPR_090,南园巴登社区万德居花园宠物友好空间,2024.0,district_event_study_or_synthetic_control_candidate,500m_grid_buffer_or_district_unit,pet_core_service_density_per_km2|positive_rule_presence|suppressed_frontier_status|rule_liminal_host_count,pre_event_pet_service_density|morphology|district|edge_cell|venue_type_mix|source_quality,event timing may be source publication date rather than true intervention date,quasi-causal evidence consistent with rule-emergence mechanism if assumptions pass
PPR_091,福保桂花都市公园篮球场旁宠物友好空间,2024.0,district_event_study_or_synthetic_control_candidate,500m_grid_buffer_or_district_unit,pet_core_service_density_per_km2|positive_rule_presence|suppressed_frontier_status|rule_liminal_host_count,pre_event_pet_service_density|morphology|district|edge_cell|venue_type_mix|source_quality,event timing may be source publication date rather than true intervention date,quasi-causal evidence consistent with rule-emergence mechanism if assumptions pass
PPR_092,福田星河COCO Park COCO Paw体系,2025.0,point_buffer_event_study_or_matched_grid_candidate,500m_grid_buffer_or_district_unit,pet_core_service_density_per_km2|positive_rule_presence|suppressed_frontier_status|rule_liminal_host_count,pre_event_pet_service_density|morphology|district|edge_cell|venue_type_mix|source_quality,event timing may be source publication date rather than true intervention date,quasi-causal evidence consistent with rule-emergence mechanism if assumptions pass
PPR_094,东门雅园立交桥下宠物友好活动空间,2023.0,point_buffer_event_study_or_matched_grid_candidate,500m_grid_buffer_or_district_unit,pet_core_service_density_per_km2|positive_rule_presence|suppressed_frontier_status|rule_liminal_host_count,pre_event_pet_service_density|morphology|district|edge_cell|venue_type_mix|source_quality,event timing may be source publication date rather than true intervention date,quasi-causal evidence consistent with rule-emergence mechanism if assumptions pass
PPR_095,翠竹德弘社区公园宠物友好活动空间,2023.0,district_event_study_or_synthetic_control_candidate,500m_grid_buffer_or_district_unit,pet_core_service_density_per_km2|positive_rule_presence|suppressed_frontier_status|rule_liminal_host_count,pre_event_pet_service_density|morphology|district|edge_cell|venue_type_mix|source_quality,event timing may be source publication date rather than true intervention date,quasi-causal evidence consistent with rule-emergence mechanism if assumptions pass
PPR_096,东湖罗安居社区公园宠物友好活动空间,2023.0,district_event_study_or_synthetic_control_candidate,500m_grid_buffer_or_district_unit,pet_core_service_density_per_km2|positive_rule_presence|suppressed_frontier_status|rule_liminal_host_count,pre_event_pet_service_density|morphology|district|edge_cell|venue_type_mix|source_quality,event timing may be source publication date rather than true intervention date,quasi-causal evidence consistent with rule-emergence mechanism if assumptions pass
PPR_097,东晓笋岗西路转角公园宠物友好活动空间,2023.0,district_event_study_or_synthetic_control_candidate,500m_grid_buffer_or_district_unit,pet_core_service_density_per_km2|positive_rule_presence|suppressed_frontier_status|rule_liminal_host_count,pre_event_pet_service_density|morphology|district|edge_cell|venue_type_mix|source_quality,event timing may be source publication date rather than true intervention date,quasi-causal evidence consistent with rule-emergence mechanism if assumptions pass
PPR_098,桂园地王大厦对面街心公园宠物友好活动空间,2023.0,district_event_study_or_synthetic_control_candidate,500m_grid_buffer_or_district_unit,pet_core_service_density_per_km2|positive_rule_presence|suppressed_frontier_status|rule_liminal_host_count,pre_event_pet_service_density|morphology|district|edge_cell|venue_type_mix|source_quality,event timing may be source publication date rather than true intervention date,quasi-causal evidence consistent with rule-emergence mechanism if assumptions pass
PPR_099,黄贝社区公园宠物友好活动空间,2023.0,point_buffer_event_study_or_matched_grid_candidate,500m_grid_buffer_or_district_unit,pet_core_service_density_per_km2|positive_rule_presence|suppressed_frontier_status|rule_liminal_host_count,pre_event_pet_service_density|morphology|district|edge_cell|venue_type_mix|source_quality,event timing may be source publication date rather than true intervention date,quasi-causal evidence consistent with rule-emergence mechanism if assumptions pass
PPR_100,莲塘莲花社区公园宠物友好活动空间,2023.0,district_event_study_or_synthetic_control_candidate,500m_grid_buffer_or_district_unit,pet_core_service_density_per_km2|positive_rule_presence|suppressed_frontier_status|rule_liminal_host_count,pre_event_pet_service_density|morphology|district|edge_cell|venue_type_mix|source_quality,event timing may be source publication date rather than true intervention date,quasi-causal evidence consistent with rule-emergence mechanism if assumptions pass
PPR_101,南湖玛雅城右侧草地宠物友好活动空间,2023.0,district_event_study_or_synthetic_control_candidate,500m_grid_buffer_or_district_unit,pet_core_service_density_per_km2|positive_rule_presence|suppressed_frontier_status|rule_liminal_host_count,pre_event_pet_service_density|morphology|district|edge_cell|venue_type_mix|source_quality,event timing may be source publication date rather than true intervention date,quasi-causal evidence consistent with rule-emergence mechanism if assumptions pass
PPR_102,清水河环湖三路金湖路银湖二街宠物友好活动空间,2023.0,point_buffer_event_study_or_matched_grid_candidate,500m_grid_buffer_or_district_unit,pet_core_service_density_per_km2|positive_rule_presence|suppressed_frontier_status|rule_liminal_host_count,pre_event_pet_service_density|morphology|district|edge_cell|venue_type_mix|source_quality,event timing may be source publication date rather than true intervention date,quasi-causal evidence consistent with rule-emergence mechanism if assumptions pass
PPR_103,笋岗田贝社区44号大院文化广场宠物友好活动空间,2023.0,district_event_study_or_synthetic_control_candidate,500m_grid_buffer_or_district_unit,pet_core_service_density_per_km2|positive_rule_presence|suppressed_frontier_status|rule_liminal_host_count,pre_event_pet_service_density|morphology|district|edge_cell|venue_type_mix|source_quality,event timing may be source publication date rather than true intervention date,quasi-causal evidence consistent with rule-emergence mechanism if assumptions pass
PPR_108,深圳巴士H239宠物友好线路,2024.0,route_buffer_event_study_candidate,500m_grid_buffer_or_district_unit,pet_core_service_density_per_km2|positive_rule_presence|suppressed_frontier_status|rule_liminal_host_count,pre_event_pet_service_density|morphology|district|edge_cell|venue_type_mix|source_quality,event timing may be source publication date rather than true intervention date,quasi-causal evidence consistent with rule-emergence mechanism if assumptions pass
PPR_109,深圳宠物友好空间官方媒体统计,2024.0,point_buffer_event_study_or_matched_grid_candidate,500m_grid_buffer_or_district_unit,pet_core_service_density_per_km2|positive_rule_presence|suppressed_frontier_status|rule_liminal_host_count,pre_event_pet_service_density|morphology|district|edge_cell|venue_type_mix|source_quality,event timing may be source publication date rather than true intervention date,quasi-causal evidence consistent with rule-emergence mechanism if assumptions pass
RME_006,H239 宠物友好巴士线,2024.0,route_buffer_event_study_candidate,500m_grid_buffer_or_district_unit,pet_core_service_density_per_km2|positive_rule_presence|suppressed_frontier_status|rule_liminal_host_count,pre_event_pet_service_density|morphology|district|edge_cell|venue_type_mix|source_quality,event timing may be source publication date rather than true intervention date,quasi-causal evidence consistent with rule-emergence mechanism if assumptions pass
PPR_019,深圳君悦酒店 Dogcation 宠物犬客房套餐,2026.0,point_buffer_event_study_or_matched_grid_candidate,500m_grid_buffer_or_district_unit,pet_core_service_density_per_km2|positive_rule_presence|suppressed_frontier_status|rule_liminal_host_count,pre_event_pet_service_density|morphology|district|edge_cell|venue_type_mix|source_quality,event timing may be source publication date rather than true intervention date,quasi-causal evidence consistent with rule-emergence mechanism if assumptions pass
PPR_020,深圳君悦酒店一般酒店政策,2026.0,point_buffer_event_study_or_matched_grid_candidate,500m_grid_buffer_or_district_unit,pet_core_service_density_per_km2|positive_rule_presence|suppressed_frontier_status|rule_liminal_host_count,pre_event_pet_service_density|morphology|district|edge_cell|venue_type_mix|source_quality,event timing may be source publication date rather than true intervention date,quasi-causal evidence consistent with rule-emergence mechanism if assumptions pass
PPR_021,深圳柏悦酒店,2026.0,point_buffer_event_study_or_matched_grid_candidate,500m_grid_buffer_or_district_unit,pet_core_service_density_per_km2|positive_rule_presence|suppressed_frontier_status|rule_liminal_host_count,pre_event_pet_service_density|morphology|district|edge_cell|venue_type_mix|source_quality,event timing may be source publication date rather than true intervention date,quasi-causal evidence consistent with rule-emergence mechanism if assumptions pass
PPR_025,深圳佳兆业万豪酒店,2026.0,point_buffer_event_study_or_matched_grid_candidate,500m_grid_buffer_or_district_unit,pet_core_service_density_per_km2|positive_rule_presence|suppressed_frontier_status|rule_liminal_host_count,pre_event_pet_service_density|morphology|district|edge_cell|venue_type_mix|source_quality,event timing may be source publication date rather than true intervention date,quasi-causal evidence consistent with rule-emergence mechanism if assumptions pass
PPR_027,深圳养犬服务小程序,2020.0,matched_comparison_or_sensitivity_candidate,500m_grid_buffer_or_district_unit,pet_core_service_density_per_km2|positive_rule_presence|suppressed_frontier_status|rule_liminal_host_count,pre_event_pet_service_density|morphology|district|edge_cell|venue_type_mix|source_quality,event timing may be source publication date rather than true intervention date,quasi-causal evidence consistent with rule-emergence mechanism if assumptions pass
PPR_028,深圳犬只电子芯片管理,2020.0,matched_comparison_or_sensitivity_candidate,500m_grid_buffer_or_district_unit,pet_core_service_density_per_km2|positive_rule_presence|suppressed_frontier_status|rule_liminal_host_count,pre_event_pet_service_density|morphology|district|edge_cell|venue_type_mix|source_quality,event timing may be source publication date rather than true intervention date,quasi-causal evidence consistent with rule-emergence mechanism if assumptions pass
PPR_048,JW Marriott Hotel Shenzhen Bao'an,2026.0,point_buffer_event_study_or_matched_grid_candidate,500m_grid_buffer_or_district_unit,pet_core_service_density_per_km2|positive_rule_presence|suppressed_frontier_status|rule_liminal_host_count,pre_event_pet_service_density|morphology|district|edge_cell|venue_type_mix|source_quality,event timing may be source publication date rather than true intervention date,quasi-causal evidence consistent with rule-emergence mechanism if assumptions pass
PPR_053,深圳中洲万豪酒店,2026.0,point_buffer_event_study_or_matched_grid_candidate,500m_grid_buffer_or_district_unit,pet_core_service_density_per_km2|positive_rule_presence|suppressed_frontier_status|rule_liminal_host_count,pre_event_pet_service_density|morphology|district|edge_cell|venue_type_mix|source_quality,event timing may be source publication date rather than true intervention date,quasi-causal evidence consistent with rule-emergence mechanism if assumptions pass
PPR_054,深圳福田JW万豪酒店,2026.0,point_buffer_event_study_or_matched_grid_candidate,500m_grid_buffer_or_district_unit,pet_core_service_density_per_km2|positive_rule_presence|suppressed_frontier_status|rule_liminal_host_count,pre_event_pet_service_density|morphology|district|edge_cell|venue_type_mix|source_quality,event timing may be source publication date rather than true intervention date,quasi-causal evidence consistent with rule-emergence mechanism if assumptions pass
PPR_055,深圳盐田凯悦酒店,2026.0,point_buffer_event_study_or_matched_grid_candidate,500m_grid_buffer_or_district_unit,pet_core_service_density_per_km2|positive_rule_presence|suppressed_frontier_status|rule_liminal_host_count,pre_event_pet_service_density|morphology|district|edge_cell|venue_type_mix|source_quality,event timing may be source publication date rather than true intervention date,quasi-causal evidence consistent with rule-emergence mechanism if assumptions pass
