round_id,source_id_candidate,venue_or_area,district_or_area,source_title,url,source_date,source_class,rule_position,rule_dimensions,evidence_summary,geo_level,model_use_recommendation,claim_boundary,source_grounding,access_date,contains_personal_data,social_media_excluded,promotion_status
round1_liminal_venue_verification,RME_001,沙井京基百纳广场,宝安区,深圳商业空间再升级 沙井京基百纳屋顶萌宠乐园开园迎客,https://www.sznews.com/news/content/mb/2025-07/28/content_31643545.htm,2025-07-28,C_reported_operator_detail,explicit_positive_zoned_facility,pet_friendly_elevator|entry_norms|pet_park|waste_bins|stroller_rental|pet_member_services,"Reports that the mall upgraded from allowing pets to a dedicated rooftop pet park, with pet-friendly elevator routing, entry norms and facilities.",venue,candidate_for_operator_confirmation,Can support a supplemental case unless operator page or archived mall notice is verified.,public_source_metadata,2026-05-29,no,yes,not_promoted_pending_manual_review
round1_liminal_venue_verification,RME_002,沙井京基百纳广场,宝安区,深圳再添一处宠物友好商场,https://difang.gmw.cn/sz/2024-09/04/content_37542475.htm,2024-09-04,C_reported_operator_detail,explicit_positive_with_conditions,leash_length_1_5m|height_under_40cm|indoor_access|all_merchants_accept|pet_elevator|stroller_rental,"Reports entry signs, leash and size conditions, indoor access, pet supplies, pet elevator and stroller rental.",venue,candidate_for_operator_confirmation,"Strong reported details, but main-model upgrade needs mall/operator page or archived notice.",public_source_metadata,2026-05-29,no,yes,not_promoted_pending_manual_review
round1_liminal_venue_verification,RME_003,深圳星河WORLD COCO Park / 深圳龙华星河COCO City,龙岗区|龙华区,E-STAR COMMERCIAL pet-friendly commercial space practice,https://en.g-cre.com/responsibility/inner/849,2021-08-01,B_operator_primary,explicit_positive_with_conditions,registered_dogs_or_cats|carrier_or_stroller|marked_pet_friendly_stores_only|pet_friendly_map|100sqm_pet_park,"Operator describes Shenzhen pilot malls, a pet-friendly covenant, marked pet-friendly stores, pet maps, rental supplies and a 100 sqm facility in Longhua COCO City.",operator_network_venue,eligible_for_semantic_rule_alignment_after_geocoding,Use as operator-network rule; venue-level claims require matching each Shenzhen project.,public_source_metadata,2026-05-29,no,yes,not_promoted_pending_manual_review
round1_liminal_venue_verification,RME_004,罗芳公园郊野径,罗湖区,City's first dog-friendly hiking trail in Luofang Park,https://www.sz.gov.cn/en_szgov/news/infocus/park/mtbd/content/post_12716537.html,2026-03-27,A_official_primary,explicit_positive_public_space_with_etiquette,dog_friendly_trail|information_boards|leash_required|waste_bags|water_bowl|pet_interpretive_design,"Government page describes a systematically designed dog-friendly trail with pet-friendly signage, safety and etiquette rules.",public_space_route,eligible_for_semantic_rule_alignment_after_route_geocoding,Route-level positive public-space rule; not a general park-wide allowance claim.,public_source_metadata,2026-05-29,no,yes,not_promoted_pending_manual_review
round1_liminal_venue_verification,RME_005,深圳机场宠物候机厅,宝安区,全国首家宠物候机厅在深圳机场启用,https://www.szairport.com/szairport/kgxw/202405/fce18f36cae4485d80d6ddc8fadc5824.shtml,2024-05-10,B_operator_primary,explicit_positive_transport_facility_service,pet_lounge|cat_dog_zoning|monitoring_system|one_stop_pet_transport|special_security_boarding_channel,Airport operator states that a pet waiting lounge and one-stop pet travel service were launched in the domestic cargo area.,transport_facility,eligible_for_semantic_rule_alignment_after_facility_geocoding,"Supports pet-transport service capability, not passenger-cabin access.",public_source_metadata,2026-05-29,no,yes,not_promoted_pending_manual_review
round1_liminal_venue_verification,RME_006,H239 宠物友好巴士线,宝安区|南山区,SZBG launches pet-friendly bus route,https://en.szbus.com.cn/news_details/5.html,2024-08-07,B_operator_primary,explicit_positive_scheduled_mobility,weekend_holiday_pet_bus|route_based_access|pet_owner_mobility,Bus operator states H239 was set as a pet-friendly route on weekends and holidays between Bao'an and Nanshan.,route,eligible_for_network_route_layer_after_stop_geocoding,Route and time-window specific access; not a citywide public-transport allowance.,public_source_metadata,2026-05-29,no,yes,not_promoted_pending_manual_review
round1_liminal_venue_verification,RME_007,云曦萌宠绿地小游园,宝安区,宝安区新安公园及尖岗山宠物公园开园,https://www.sz.gov.cn/cn/xxgk/zfxxgj/gqdt/content/post_11137987.html,2024-01-29,A_official_primary,explicit_positive_public_space_zoned,13000sqm_pet_friendly_space|1200sqm_play_area|size_zoning|pet_water_facility,Government page describes a large pet-friendly space with separate large/medium/small dog areas and pet facilities.,public_space,eligible_for_semantic_rule_alignment,"Specific park/open-space rule, not a district-wide access rule.",public_source_metadata,2026-05-29,no,yes,not_promoted_pending_manual_review
round1_liminal_venue_verification,RME_008,南山区社区宠物公园,南山区,南山区首个社区宠物公园开园,https://www.sz.gov.cn/cn/xxgk/zfxxgj/gqdt/content/post_10857958.html,2023-09-25,A_official_primary,explicit_positive_public_space_zoned,600sqm_pet_park|separated_pet_area|pet_toilet|training_facility|civilized_dog_ownership_signage,"Government page describes zoning between pet activity and ordinary leisure space, with equipment and conduct signage.",public_space,eligible_for_semantic_rule_alignment,Specific community pet park; not a general street-level tolerance claim.,public_source_metadata,2026-05-29,no,yes,not_promoted_pending_manual_review
round2_counterexample_and_control,RME_009,Grand Hyatt Shenzhen,罗湖区,Hotel Policies | Grand Hyatt Shenzhen,https://www.hyatt.com/grand-hyatt/en-US/shegh-grand-hyatt-shenzhen/policies,,B_operator_primary,explicit_restrictive_no_pets,pets_not_allowed|service_animals_not_allowed,"Operator policy page states that pets are not allowed, including service animals.",venue,eligible_as_restrictive_control_after_archive,Current web policy at access date; must re-check before submission.,public_source_metadata,2026-05-29,no,yes,not_promoted_pending_manual_review
round2_counterexample_and_control,RME_010,Park Hyatt Shenzhen,福田区,Hotel Policies | Park Hyatt Shenzhen,https://www.hyatt.com/park-hyatt/en-US/szxph-park-hyatt-shenzhen/policies,,B_operator_primary,restrictive_with_service_animal_exception,pets_not_allowed|service_animals_exception,Operator policy page states pets are not allowed except for service animals.,venue,eligible_as_restrictive_control_after_archive,Current web policy at access date; not evidence for surrounding venues.,public_source_metadata,2026-05-29,no,yes,not_promoted_pending_manual_review
round2_counterexample_and_control,RME_011,Hyatt Regency Shenzhen Yantian,盐田区,Hotel Policies | Hyatt Regency Shenzhen Yantian,https://www.hyatt.com/hyatt-regency/en-US/szxry-hyatt-regency-shenzhen-yantian/policies,,B_operator_primary,restrictive_with_service_animal_exception,pets_not_allowed|service_animals_exception,Operator policy page states pets are not allowed with the exception of service animals.,venue,eligible_as_restrictive_control_after_archive,Current web policy at access date; not a citywide hotel-sector claim.,public_source_metadata,2026-05-29,no,yes,not_promoted_pending_manual_review
round2_counterexample_and_control,RME_012,InterContinental Shenzhen ICSZ,南山区,InterContinental Shenzhen ICSZ Amenities,https://www.ihg.com/intercontinental/hotels/us/en/shenzhen/szxft/hoteldetail/amenities,,B_operator_primary,explicit_restrictive_no_pets,no_pets_allowed,IHG operator page states no pets allowed for InterContinental Shenzhen ICSZ.,venue,eligible_as_restrictive_control_after_archive,Current web policy at access date; hotel-specific only.,public_source_metadata,2026-05-29,no,yes,not_promoted_pending_manual_review
round2_counterexample_and_control,RME_013,Hilton Shenzhen pet-friendly hotel directory,深圳市,"Pet-Friendly Hotels in Shenzhen, China - Hilton",https://www.hilton.com/en/locations/china/shenzhen/pet-friendly/,,B_operator_primary,operator_directory_positive,pet_friendly_hotel_directory|multiple_properties,Hilton directory lists multiple Shenzhen-area properties under its pet-friendly hotel category.,operator_network_city,discovery_queue_then_property_level_policy_check,Directory evidence only; each hotel needs property-level policy verification.,public_source_metadata,2026-05-29,no,yes,not_promoted_pending_manual_review
round2_counterexample_and_control,RME_014,IHG Shenzhen pet-friendly hotel directory,深圳市,"Shenzhen Hotels | Top Hotels in Shenzhen, Mainland China by IHG",https://www.ihg.com/shenzhen-mainland-china,,B_operator_primary,operator_directory_positive,pet_friendly_hotel_directory|two_properties|property_level_policy_needed,IHG city directory states that two IHG hotels in Shenzhen are pet-friendly and advises checking hotel-specific policy pages.,operator_network_city,discovery_queue_then_property_level_policy_check,City-directory evidence; not enough to geocode positive access without property identity.,public_source_metadata,2026-05-29,no,yes,not_promoted_pending_manual_review
round3_primary_source_sensitivity,RME_015,罗湖区宠物经济空间政策,罗湖区,从场景出圈到产业成势，罗湖“它经济”迈向高质量发展新赛道,https://fgw.sz.gov.cn/ztzl/qtztzl/szscjmyjjfzzhfwpt/xwdt/cyfz/content/post_12770773.html,2026-05-06,A_official_primary,district_strategy_positive_targets,pet_friendly_blocks|pet_friendly_malls|pet_friendly_parks|pet_friendly_hotel_targets|pet_economy_cluster,"Official development-reform page states Luohu targets pet-friendly blocks, malls, parks and hotels and describes multiple spatial conversion cases.",district_strategy,eligible_as_district_strategy_layer_not_venue_rule,"Supports district strategy/readiness, not current pet access at every named venue.",public_source_metadata,2026-05-29,no,yes,not_promoted_pending_manual_review
round3_primary_source_sensitivity,RME_016,深圳各区宠物公园名单,深圳市,超全深圳“宠物公园”名单来了！各区都有,https://cgj.sz.gov.cn/zjcg/zh/content/post_10406034.html,2023-02-02,A_official_primary,official_public_space_positive_with_behavior_rules,pet_parks|leash_required|waste_cleanup|required_behavior_norms|district_coverage,City management page lists pet parks and reminds users to leash pets and clean waste.,citywide_public_space_list,eligible_for_public_space_seed_after_individual_geocoding,List-level evidence; each park should be geocoded individually.,public_source_metadata,2026-05-29,no,yes,not_promoted_pending_manual_review
round4_bounded_rule_evidence_mining,RME_017,Shenzhen Marriott Hotel Golden Bay,大鹏新区,Shenzhen Marriott Hotel Golden Bay overview and pet policy,https://www.marriott.com/en-us/hotels/szxgb-shenzhen-marriott-hotel-golden-bay/overview/,,B_operator_primary,explicit_positive_with_fee_weight_number_limits,pets_welcome|cleaning_fee_300_cny_per_room_per_night|max_weight_18kg|max_two_pets,"Marriott property page states pets are welcome with cleaning fee, maximum pet weight and maximum number of pets.",venue,eligible_for_manual_upgrade_after_temporal_conflict_check,"Current operator page at access date; older Marriott URL showed no-pets conflict, so archive and pre-submission recheck are required.",public_source_metadata,2026-05-29,no,yes,not_promoted_pending_manual_review
round4_bounded_rule_evidence_mining,RME_018,JW Marriott Hotel Shenzhen,福田区,JW Marriott Hotel Shenzhen overview and pet policy,https://www.marriott.com/en-us/hotels/szxjw-jw-marriott-hotel-shenzhen/overview/,,B_operator_primary,explicit_restrictive_no_pets,pets_not_allowed,Marriott property page states that pets are not allowed.,venue,eligible_as_restrictive_control_after_archive,Hotel-specific operator policy only; not evidence for adjacent commercial venues.,public_source_metadata,2026-05-29,no,yes,not_promoted_pending_manual_review
round4_bounded_rule_evidence_mining,RME_019,Shenzhen Marriott Hotel Nanshan,南山区,Shenzhen Marriott Hotel Nanshan overview and pet policy,https://www.marriott.com/en-gb/en-us/hotels/szxwt-shenzhen-marriott-hotel-nanshan/overview/,,B_operator_primary,restrictive_with_service_animal_exception,pets_not_allowed|service_animals_only,Marriott property page states pets are not allowed and identifies service animals only.,venue,eligible_as_restrictive_control_after_archive,Hotel-specific rule; not a district hotel-sector generalization.,public_source_metadata,2026-05-29,no,yes,not_promoted_pending_manual_review
round4_bounded_rule_evidence_mining,RME_020,JW Marriott Hotel Shenzhen Bao'an,宝安区,JW Marriott Hotel Shenzhen Bao'an overview and pet policy,https://www.marriott.com/en-us/hotels/szxba-jw-marriott-hotel-shenzhen-baoan/overview/,,B_operator_primary,explicit_restrictive_no_pets,pets_not_allowed|no_pets_allowed,Marriott search result/property page states pets are not allowed.,venue,eligible_as_restrictive_control_after_archive,Use after opening and archiving property page lines in final source appendix.,public_source_metadata,2026-05-29,no,yes,not_promoted_pending_manual_review
round4_bounded_rule_evidence_mining,RME_021,Renaissance Shenzhen Bay Hotel,南山区,Renaissance Shenzhen Bay Hotel overview and pet policy,https://www.marriott.com/en-us/hotels/szxrb-renaissance-shenzhen-bay-hotel/overview/,,B_operator_primary,explicit_restrictive_no_pets,pets_not_allowed|no_pets_allowed,Marriott property page states pets are not allowed.,venue,eligible_as_restrictive_control_after_archive,Hotel-specific rule; not a district-level claim.,public_source_metadata,2026-05-29,no,yes,not_promoted_pending_manual_review
round4_bounded_rule_evidence_mining,RME_022,Four Points by Sheraton Shenzhen,福田区,Four Points by Sheraton Shenzhen overview and pet policy,https://www.marriott.com/en-us/hotels/szxfp-four-points-shenzhen/overview/,,B_operator_primary,explicit_restrictive_no_pets,pets_not_allowed,Marriott property page states pets are not allowed.,venue,eligible_as_restrictive_control_after_archive,Hotel-specific rule; not evidence for surrounding venues.,public_source_metadata,2026-05-29,no,yes,not_promoted_pending_manual_review
round4_bounded_rule_evidence_mining,RME_023,T/SPPSF 011-2025 宠物友好商场人与犬猫行为规范,深圳市,T/SPPSF 011-2025 宠物友好商场人与犬猫行为规范,https://www.ndls.org.cn/standard/detail/9425be6538441db88ebaae966830b3b4,2025-12-09,D_standard_context,commercial_standard_behavior_norm,entry_conditions|behavior_norms|spatial_zoning|facility_configuration|hygiene|emergency|conflict_handling|supervision,"National Digital Library of Standards page states the standard covers entry conditions, behavior rules, zones, facilities, hygiene, emergency management and conflict handling for pet-friendly malls.",standard_not_geocoded,methods_context_or_sensitivity_not_grid_rule,"A standard context source, not evidence that any specific Shenzhen mall follows it.",public_source_metadata,2026-05-29,no,yes,not_promoted_pending_manual_review
round4_bounded_rule_evidence_mining,RME_024,天虹深圳及全国线下门店宠物友好服务,深圳市,“它经济”盛行 天虹入局“宠物友好”商场,https://www.sznews.com/news/content/mb/2023-02/15/content_30077107.htm,2023-02-15,C_reported_operator_detail,reported_operator_positive_with_behavior_rules,pet_entry_signage|pet_stroller|drinking_water|disinfection_wipes|pet_diapers|no_ground_rule|leash_required|space_zoning,"Shenzhen News reports Tianhong pet-friendly services, pet-entry signage, supplies, no-ground and leash rules, and public-space division.",operator_network_city,discovery_or_sensitivity_until_operator_annual_report_or_store_notice_is_archived,Operator-detail report; not enough to assign every Tianhong store as positive without store-level matching.,public_source_metadata,2026-05-29,no,yes,not_promoted_pending_manual_review
round4_bounded_rule_evidence_mining,RME_025,罗湖区宠物友好城区实施目标,罗湖区,从场景出圈到产业成势，罗湖“它经济”迈向高质量发展新赛道,https://fgw.sz.gov.cn/ztzl/qtztzl/szscjmyjjfzzhfwpt/xwdt/cyfz/content/post_12770773.html,2026-05-06,A_official_primary,district_strategy_positive_targets,pet_friendly_blocks|pet_friendly_malls|pet_friendly_parks|pet_friendly_hotels|pet_economy_cluster,"Official development-reform page states Luohu's 2026 targets for pet-friendly blocks, malls, parks and hotels and describes converted pet-economy spaces.",district_strategy,district_strategy_layer_not_venue_rule,Strategy/readiness evidence; not direct evidence of access at all target venues.,public_source_metadata,2026-05-29,no,yes,not_promoted_pending_manual_review
round4_bounded_rule_evidence_mining,RME_026,宠悦星乐园,光明区,光明文商旅融合新地标+1！全市首个宠物文旅商业综合体开业,https://www.sznews.com/news/content/2026-02/05/content_31936144.htm,2026-02-05,C_reported_operator_detail,explicit_positive_pet_tourism_commercial_complex,large_small_dog_off_leash_zones|obstacle_track|human_pet_camping|pet_science_education|pet_friendly_restaurant_recruitment,"Shenzhen News reports a pet cultural-tourism commercial complex with outdoor dog zones, activity areas and planned pet-friendly restaurant/retail/medical functions.",venue_complex,candidate_for_operator_or_official_confirmation,Reported project details; upgrade needs operator/official page or venue-level archival confirmation.,public_source_metadata,2026-05-29,no,yes,not_promoted_pending_manual_review
